customer_number,company_name,address_line_1,suburb,state,sostcode
C000035,BOUNONET,,,,
C000036,BRONADA PLASTICS,12 Antill Street,Yennora,NSW,2161
C000037,BRONADA SALES & MARK,12 Antill Street,Yennora,NSW,2161
C000038,BUONO NET,10 Richmond Road,Homebush West,NSW,2140
C000039,BURTON PLASTICS,,,,
C000040,CALAIR SYSTEMS,6 Edwards Road,Dural,NSW,2158
C000041,CASLEC ELECTRICAL & DATA,3 Long Street,Smithfield,NSW,2164
C000042,CHEMSON PACIFIC,2 Capicure Drive,Eastern Creek,NSW,2766
C000043,CHUNG'S PLASTIC BAGS,15-17 South Street,Rydalmere,NSW,2116
C000044,CINQPLAST PLASTOP,43-55 Airds Road,Minto,NSW,2566
C000045,CIRCULAR PLASTICS ,10 McLaurin Road,Ettamogah,NSW,2640
C000046,CLARA JEANS & SPORTS,250 Fairfield Street,Fairfield East,NSW,2165
C000047,CLOROX,3/10 Herb Elliott Avenue,Sydney Olympic Park,NSW,2127
C000048,CLOVER PLASTICS,15 Cosgrove Road,Strathfield South,NSW,2136
C000049,CONFETA,82 Gibson Avenue,Padstow,NSW,2211
C000050,CROMFORD,120 Ballandella Road,Pendle Hill,NSW,2145
C000051,CROMFORD PIPE MOSSVALE,1 Douglas Road,Moss Vale,NSW,2577
C000052,CSIRO,Building 101 Clunies Ross Street,Black Mountain,ACT,2601
C000053,CTI TOOLING,,,,
C000054,CTS PLASTICS,250 Hammond Road,Dandenong South,VIC,3175
C000055,DADS BAKERY,12/21 Bells Line of Road,North Richmond,NSW,2754
C000056,DAVID PLASTIC CO,77 Carrington Street,Revesby,NSW,2212
C000057,DENTAL & ENGINEERING,13/17 Chambers Road,Altona North,VIC,3025
C000058,DINCEL CONSTRUCTION,101 Quarry Road,Erskine Park,NSW,2759
C000059,DKW SERVICES,6/3 Palm Tree Road,Wyong,NSW,2259
C000060,DME,158 Adelong Road,Tumut,NSW,2720
C000061,EAST COAST ELECTRICAL,13 Arila Avenue,Wamberal,NSW,2260
C000062,VPI BUILDING,25 Whitton Street,Katoomba,NSW,2780
C000063,ENVIRO PLASTIC RECYCLE,14 Keating Street,Lidcombe,NSW,2141
C000064,ES PLASTICS,50 Enterprise Drive,Beresfield,NSW,2322
C000065,ETI,74 High Street,Toowong,QLD,4066
C000066,EXTRUSION TECH,31 Computer Road,Yatala,QLD,4207
C000067,F&G AUSTRALIA,,,,
C000068,FASTHEAT,3 Emma Street,Athol Park,SA,5014
C000069,FENSKE,4/31 Norfolk Avenue,South Nowra,NSW,2541
C000070,FLOWMASTER PIPES,3/145-147 Howard Street,Epsom,VIC,3551
C000071,FLUORO PACIFIC,1A/25 Loyalty Road,North Rocks,NSW,2151
C000072,FOSTER PLASTICS - HEAD OFFICE,33 Titan Drive,Mickleham,VIC,3064
C000073,FOSTER PLASTICS - QLD,8 Octal Street,Yatala,QLD,4207
C000074,FOSTER PLASTICS - VIC,33 Titan Drive,Mickleham,VIC,3064
C000075,FRESH & GREEN AUSTRALIA,137 Bonds Road,Riverwood,NSW,2210
C000076,FULL VIEW PLASTICS,30 Bessemer Street,Blacktown,NSW,2148
C000077,G JAMES EXTRUSION,1084 Kingsford Smith Drive,Eagle Farm,QLD,4009
