legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R2073,R2073,FENSKE,C000069,SCB,,"3/4"" T/C Hole@90Deg ",240,1250,150 x 100
R2074,R2074,ISTRA ELEMENTS,C000094,MICA,,42 Ohms,Undefined,Undefined,120 x 100
R2075,R2075,KEY PLASTICS,C000100,SCB,,Double 32 T/C Hole @90Deg Plugall 180Deg,240,3600,Undefined
R2076,R2076,GRASS MANUFACTURERS,C000081,RAPP,,Plugall 50mm from end,415,1100,310 x 26
R2077,R2077,BUONO NET,C000038,PP,,"4x5/8' Holes, 1x7/8"" T/C Hole in centre Plug outlet",240,950,315+315X55
R2078,R2078,BUONO NET,C000038,SCB,,9/16T/C Hole @90dDeg Plug outlet@90Deg,240,600,178 x 155
R2079,R2079,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,"45Deg Angle plug @90Deg 1"" T/C Hole @180Deg",240,1400,110 x 55
R2080,R2080,AUSTRALIAN CUSTOM PIPES,C000003,CKB,,32mm T/C Hole@180Deg 82mm from side,240,4200,D180mm x W80mm
R2081,R2081,AUSTRALIAN CUSTOM PIPES,C000003,CKB,,3x32mm Holes 30mm from side,240,2200,240 x 186
R2082 ,R2082,VINIDEX - HEAD OFFICE,C000201,SCB,,"1"" T/C Hole @90Deg Layflat Plugall",240,3500,245 x 96
R2083,R2083,DINCEL CONSTRUCTION,C000058,PP,,"5x1/2"" Bolt holes 2x3/4"" T/C & Lift Hole",240,1200,238 x 180
R2084,R2084,DINCEL CONSTRUCTION,C000058,PP,,"5x1/2"" Bolt holes 3/4"" T/C Hole",240,800,400 x 100
R2085,R2085,DINCEL CONSTRUCTION,C000058,PP,,"STD HX P/ALL 5x1/2"" Bolt holes 3/4"" T/C Hole",240,775,250 x 100
R2086,R2086,DINCEL CONSTRUCTION,C000058,PP,,"5x1/2"" Bolt holes 3/4"" T/C Hole",240,475,400 x 60
R2087,R2087,FOSTER PLASTICS - VIC,C000074,BCB,,20mm T/C Hole 25 from edge@90Deg Plug 180Deg,240,1600,250 x 60
R2088,R2088,FOSTER PLASTICS - VIC,C000074,BCB,,30mm T/C hole @ 90Deg,240,1000,165 x 90
R2089,R2089,FOSTER PLASTICS - VIC,C000074,BCB,,Plug @ 180Deg,240,1000,120 x 80
R2090,R2090,FOSTER PLASTICS - VIC,C000074,BCB,,Plug @ 180Deg,240,900,114 x 100
R2091,R2091,ACACIA PRODUCTS,C000002,SCB,,"1"" T/C Hole @90Deg Plugall@180Deg",240,2500,114 x 80
R2092,R2092,FOSTER PLASTICS - VIC,C000074,BCB,,,240,750,310 x 80 
R2093,R2093,PROCOM PLASTICS EXTRUSIONS,C000152,SCB,,"7/16"" T/C in Sheath Only@90Deg Plugall",240,450,114 x 102
R2094,R2094,ACACIA PRODUCTS,C000002,SSCB,,100x40 Cut out on pivot side Cer terminal 70 from opp side,240,2250,175 x 25
R2095,R2095,KEY PLASTICS,C000100,SCB,,Double 32 T/C Hole @90Deg Plugall 180Deg,240,3600,127X350 S/L190
R2096,R2096,TECHPLAS EXTRUSION  ,C000184,RAPP,,Plugall 50 from long end 25 from edge,240,1000,320 x 280
R2097,R2097,TECHPLAS EXTRUSION  ,C000184,SCB,,"9/16"" T/C Hole @90Deg",240,1000,220+120X88
R2098,R2098,AIRTEC CENTRAL,C000010,SCB,,"1/2"" T/C Hole In sheath only",240,550,205 x 50
R2099,R2099,EXTRUSION TECH,C000066,SCB,,"1"" T/C Hole 45 from edge @90Deg",240,900,150 x 38
R2100,R2100,CALAIR SYSTEMS,C000040,SCB,,"5/8"" T/C Hole 24 Long 32x35 Cut Out SIMILAR TO R1581",240,1500,D120mm x W70mm
R2101,R2101,FENSKE,C000069,SCB,,"3/4"" T/C Hole @90Deg",240,975,237 x 60
R2102,R2102,KEY PLASTICS,C000100,SCB,,"2x1"" T/C Holes @90deg Both Sides",240,1200,120 x 75
R2103,R2103,IPLEX - HEAD OFFICE,C000090,SCB,,2Cut Outs 80W x 30D & 90Deg Both Sides Similar to R447,240,1000,200 x 100
R2104,R2104,FRESH & GREEN AUSTRALIA,C000075,SCB,,Plugall @180 Deg,240,750,D170mm x W90mm 
R2105,R2105,PRECISION VALVE AUSTRALIA,C000146,CKB,,,240,1900,239 x 30
